Zona,Tipo Tarifa Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
2,2,Simple,OLLERQ§__,3501,3900
2,1,Progresiva,OLLEROS AV.,1601,1700
2,1,progresiva,OLLEROS AV.,1602,1800
2,,,,,
2,1,Progresiva,OLLEROS AV.,1702,1900
2,1,Progresiva,OLLEROS AV.,1802,1900
2,2,Simple,OMBU,2901,2920
2,2,Simple,OMBU,2911,3074
2,2,?ple,OMBU,3059,3100
2,2,Simple,ORaÑO NICASIO,2001,2400
2,1,Progresiva,OR.TEGA Y GASSET,1501,2000
2,2,Simple,ORTIZ DE OCAMPO,2501,2800
2,2,Simple,ORTIZ DE OCAMPO AV.,2801,2868
2,2,Simple,"ORTIZ DE OCAMPO AV,",2857,2900
2,2,Simple,OTERO,1,200
2,2,Simple,PACHECO DE MELD JOSE ANDRES,2401,3200
2,2,Simple,PACINI DE ALVEAR REGINA,301,400
2,1,Progresiva,PADILLA,201,1200
2,2,Simple,PADILLA,1201,1300
2,2,Simple,PAGANO JOSE LEON,2601,2800
2,1,Proqresìva,PALESTINA,1101,1200
2,1,Progresiva,PALPA,2301,2400
2,2,Simple,PALPA,3501,3900
2,1,Progresiva,PARAGUAY,2801,3900
2,1,Progresiva,PARAGUAY,3879,3883
2,1,Progresiva,PARAGUAY,3901,4675
2,2,Simple,PARAGUAY,5001,5500
2,1,Progresiva,PARAGUAY,5501,5666
2,1,Progresiva,PARAGUAY,5657,5700
2,1,Progresiva,PARANA,1101,1400
2,2,Simple,PAUNERO,2701,2900
2,2,Simple,PAYSANDU,1801,1849
2,2,Simple,PAYSANDU,1842,1900
2,2,Simple,PAYSANDU,1851,1699
2,2,Simple,PAYSANDU,1901,2200
2,1,Progresiva,PENA,2001,2100
2,2,Simple,PENA,2101,3200
2,2,Simple,PEREYRA LUCENA,2501,2700
2,2,Simple,PEREZ GREGORIA,3501,3700
2,2,Simple,PINO Virreydel,1451,1600
2,1,Progresiva,PIZZURNO,901,1000
2,2,Simple,POSADAS,1301,1800
2,1,Progresiva,PRINGLES,1201,1500
2,2,Simple,PUEYRREDON HONORIO DR. AV.,2001,2099
2,2,Simple,PUEYRREDON HONORIO DR. AV.,"2,002",2050
2,2,Simple,PUEYRREDON HONORIO OR.AV.,2052,2199
2,2,Simple,PUEYRREDON HONORIO DR. AV.,2102,2200
2,2,Simple,PUNTA ARENAS,1701,2000
2,1,Progresiva,PY COMODORO AV.,1701,1849
2,1,Progresiva,PY COMODORO AV.,1702,1950
2,1,Progresiva,PY COMODORO AV. \,1851,1949
2,1, Progresiva,PY COMODORO AV. \,1951,2099
2,,,,,
2,1,Proqreslva,PY COMODORO AV.,1952,2149
2,1,Progresiva,PY COMODORO AV.,2102,2259
2,1,Proqresiva,PY COMODORO AV.,2152,2399
2,1,Progresiva,PY COMODORO AV.,2262,2400
2,2,Simple,QUINTANA MANUEL PRES. AV.,401,700
2,1,Proç¡resiva,QUI RNa COSTA NORBERTO Dr.,1201,1300
2,2,Simple,QUIROGA JUAN FACUNDO BRIG. GRAL.,1001,1100
2,1,Proqreslva,RAMIREZ DE VELAZCO JUAN,101,1100
2,2,Simple,RAMI REZ DE VELAZCO JUAN,1301,1320
2,2,Simple,RAMIREZ DE VELAZCO JUAN,1401,1600
2,1,Proq resiva,RAMOS M EJIA JOSE MARIA DR. AV.,1501,1700
2,2,Simple,RAVIGNANI EMILIO Dr.,1101,2300
2,1,Proqreslva,RAVIGNANI EMILIO Dr.,2301,2400
2,1,Progresiva,RAVIGNANI EMILIO Dr.,2501,2600
2,2,Simple,REPErTO NICOLAS DA.,1401,2204
2,1,Progresiva,REPUBLICA ARABE SIRIA,2501,2800
2,2,Simple,REPUBLICA ARABE SIRIA,2801,3400
2,1,Prog resiva,REPUBLICA DE ESLQVEN lA,1701,2000
2,2,Simple,REPUBLICA DE LA INDIA,2701,3200
2,1,Progresiva,REPUBLICA DOMINICANA,3501,3600
2,1,Proqresíva,RIOBAMBA,801,1300
2,2,Simple,ROCHA DARDO,2901,3000
2,2,Simple,RODNEY,1,400
2,2,Simple,RODRIGUEZ MANUELA. GENERAL,1301,2200
2,2,Simple,ROJAS,1101,2300
2,2,Simple,ROSETI,1,1100
2,2,Simple,RUGGIERI SILVIO L.,2701,3100
2,1,Progresiva,RUSSEL,4901,5100
2,2,Simple,SALGUERO JERONIMO,3073,3100
2,1,Progresiva,SAN BENITO DE PALERMO,1501,1700
2,1,Progresiva,SAN MARTIN,1351,1400
2,1,Proqresíva,SAN MARTIN,1352,1400
2,2,Simple,SAN MARTIN DE TOURS,2801,3200
2,1,Proqresiva,SAN MATEO,3701,3800
2,1,Progresiva,SANCHEZ DE BUSTAMANTE,1101,2200
2,2,Simple,SANCHEZ DE BUSTAMANTE,2201,2700
2,2,Simple,SANCHEZ DE THOMPSON MARIQUITA,201,290
2,2,Simple,SANCHEZ DE THOMPSON MARIQUITA,311,400
2,1,Proqresiva,SANTA ROSA,4901,5200
2,1,Progresiva,SAVIO MANUEL N. GRAL.,201,600
2,1,Proqresiva,SCALABRINI ORTIZ RAUL,2501,2600
2,1,Progresiva,SCALABRINI ORTIZ RAUL,2701,2900
2,2,Simple,SCALABRINI ORTIZ RAUL,2901,3000
2,2,Simple,SCALABRINI ORTIZ RAUL,3101,3400
2,2,Simple,SCALABRINI ORTIZ RAUL,3501,3650
2,2,Simple,SCHIAFFINO EDUARDO,2001,2100
2,2,Simple,SEGUI F. J. ALTE.,2001,2049
2,2,Simple,SEGUI F. J. ALTE.,2042,2400
2,2,Simple,SEGUI JUAN FRANCISCO,3501,4000
2,,,,,
2,2,Simple,SEGUI JUAN FRANCISCO,4401,4750
2,1,Progresiva,SERRANO,1,1550
2,1,Progresiva,SERRANO,1557,1599
2,2,Simple,SEVilLA,2901,3000
2,2,Simple,SINCLAIR,2901,3300
2,2,Simple,SIVORI EDUARDO,2901,3000
2,í,Progresiva,", SOLDADO DE LA INDEPENDENCIA",401,1400
2,1,Progresiva,SOLER,3201,5200
2,2,Simple,SOLER,5401,6100
2,1,Proqreslva,SORIA,5101,5200
2,2,Simple,SUNCHALES,401,668
2,2,Simple,SUNCHALES,651,900
2,2,Simple,SUSINI ANTONIO Cnel.,2101,2231
2,2,Simple,SUSINI ANTONIO Cnel.,2222,2400
2,2,Siml2k___TAGlE,,2501,2950
2,2,Simple,TEDIN JUEZ,2701,3200
2,2,Simple,TERRERO,2301,2500
2,1,Progresiva,THAMES,1,550
2,1,Proqresiva,THAMES,541,1650
2,1,Progresiva,THAMES,1601,2400
2,2,Simple,"TRELLES MANUEL R. AV,",2301,2516
2,2,Simple,TRElLES MANUEL R. AV.,2505,2700
2,1,Progresiva,TRES ARROYOS,101,500
2,2,Simple,TRES ARROYOS,501,950
2,2,Simple,TRES lOMAS,501,700
2,2,Simple,TRONADOR,1,300
2,2,Simple,UGARTECHE,2801,3400
2,1,Progresiva,URIARTE,801,1000
2,1,Progresiva,URIARTE,985,1020
2,1,Progresiva,URIARTE,1401,2500
2,1,Progresiva,URIBURU JOSE E. Pres.,1001,1400
2,2,Simple,URIBURU JOSE E. Pres.,1401,1800
2,1,Progresiva,VEGA NICETO Cnel.,4601,5300
2,2,Simple,VEGA NICETO Cnel. AV.,5422,5499
2,2,Simple,VEGA NICETO Cnel. AV.,5452,5511
2,2,Simple,VEGA NICETO Cnel. AV.,5502,6100
2,1,Progresiva,VERA,101,1000
2,1,Progresiva,VIALE LUIS,1,400
2,1,Progresiva,VIOT,1601,2200
2,2,Simple,VilLAFANE BENJAMIN,2101,2200
